id,target
0,0.393525
1,0.296301
2,0.235551
3,0.508680
4,0.362383
5,0.208896
6,0.552535
7,0.705833
8,0.146516
9,0.310945
10,0.152146
11,0.435406
12,0.313875
13,0.350853
14,0.316402
15,0.278454
16,0.381953
17,0.251172
18,0.339853
19,0.386300
20,0.379686
21,0.198054
22,0.228460
23,0.208872
24,0.306078
25,0.169365
26,0.131867
27,0.465502
28,0.668235
29,0.381043
30,0.339097
31,0.275897
32,0.266786
33,0.105804
34,0.322632
35,0.279838
36,0.656566
37,0.298896
38,0.294556
39,0.401409
40,0.290151
41,0.317247
42,0.493960
43,0.242179
44,0.314074
45,0.439440
46,0.349788
47,0.473598
48,0.564390
49,0.339324
50,0.230973
51,0.374955
52,0.170858
53,0.507041
54,0.328927
55,0.424223
56,0.306723
57,0.259621
58,0.219845
59,0.225841
60,0.292076
61,0.314358
62,0.326250
63,0.569915
64,0.218303
65,0.402177
66,0.480947
67,0.237610
68,0.102392
69,0.311184
70,0.268439
71,0.285592
72,0.388486
73,0.158752
74,0.276439
75,0.248489
76,0.334493
77,0.169511
78,0.238382
79,0.350531
80,0.331222
81,0.319305
82,0.270659
83,0.157138
84,0.295357
85,0.204117
86,0.402193
87,0.224392
88,0.374306
89,0.242976
90,0.215892
91,0.270363
92,0.248783
93,0.257692
94,0.317322
95,0.303689
96,0.264941
97,0.356365
98,0.265018
99,0.402008
100,0.230127
101,0.408322
102,0.282782
103,0.134657
104,0.366393
105,0.347483
106,0.132670
107,0.168664
108,0.383020
109,0.584104
110,0.397769
111,0.395484
112,0.176529
113,0.551264
114,0.411272
115,0.208722
116,0.383716
117,0.265409
118,0.588398
119,0.461585
120,0.427065
121,0.264372
122,0.325399
123,0.655325
124,0.244782
125,0.076213
126,0.208589
127,0.364503
128,0.344862
129,0.155765
130,0.691663
131,0.651050
132,0.323421
133,0.366138
134,0.197892
135,0.328580
136,0.336366
137,0.381119
138,0.608308
139,0.451816
140,0.302192
141,0.351987
142,0.335365
143,0.648342
144,0.394468
145,0.473631
146,0.347145
147,0.239863
148,0.198183
149,0.329736
150,0.266173
151,0.130561
152,0.403173
153,0.227855
154,0.230205
155,0.393466
156,0.104431
157,0.414004
158,0.506880
159,0.236484
160,0.327370
161,0.277658
162,0.351907
163,0.364357
164,0.517850
165,0.226334
166,0.603695
167,0.412487
168,0.313375
169,0.675842
170,0.345383
171,0.639286
172,0.338375
173,0.264159
174,0.217586
175,0.383307
176,0.337385
177,0.324558
178,0.365321
179,0.358616
180,0.337747
181,0.343047
182,0.295600
183,0.142329
184,0.577880
185,0.603671
186,0.319343
187,0.275956
188,0.430053
189,0.417315
190,0.134900
191,0.401476
192,0.476261
193,0.499630
194,0.241589
195,0.207759
196,0.346843
197,0.695780
198,0.415359
199,0.444776
200,0.371221
201,0.285823
202,0.145196
203,0.351649
204,0.314793
205,0.329328
206,0.356199
207,0.422981
208,0.391181
209,0.338388
210,0.336544
211,0.252216
212,0.266060
213,0.426704
214,0.306486
215,0.415513
216,0.333798
217,0.303544
218,0.247100
219,0.383354
220,0.277301
221,0.183977
222,0.268932
223,0.258130
224,0.272476
225,0.264675
226,0.290963
227,0.281602
228,0.389042
229,0.324650
230,0.244935
231,0.285692
232,0.325163
233,0.237162
234,0.199421
235,0.310183
236,0.241493
237,0.302667
238,0.420781
239,0.811925
240,0.305382
241,0.207788
242,0.460475
243,0.280715
244,0.285458
245,0.249750
246,0.283768
247,0.368273
248,0.480540
249,0.218824
250,0.278287
251,0.404736
252,0.388029
253,0.271421
254,0.216321
255,0.232947
256,0.235751
257,0.313981
258,0.313264
259,0.586087
260,0.256229
261,0.284797
262,0.313149
263,0.337454
264,0.324997
265,0.356312
266,0.281557
267,0.275787
268,0.295886
269,0.359558
270,0.323861
271,0.375160
272,0.386885
273,0.418915
274,0.443790
275,0.560077
276,0.297114
277,0.176284
278,0.199681
279,0.154658
280,0.264541
281,0.396309
282,0.221481
283,0.466139
284,0.154405
285,0.180802
286,0.594968
287,0.289591
288,0.212623
289,0.333529
290,0.772521
291,0.333562
292,0.335199
293,0.399175
294,0.226692
295,0.250064
296,0.701143
297,0.219733
298,0.347395
299,0.201636
300,0.314219
301,0.176975
302,0.366220
303,0.322195
304,0.325839
305,0.333721
306,0.309355
307,0.346214
308,0.208349
309,0.658740
310,0.317502
311,0.264839
312,0.176344
313,0.281984
314,0.313343
315,0.363087
316,0.283988
317,0.562775
318,0.571041
319,0.163288
320,0.392280
321,0.338203
322,0.325603
323,0.175015
324,0.211868
325,0.206033
326,0.316107
327,0.352442
328,0.308287
329,0.500781
330,0.164552
331,0.376943
332,0.575849
333,0.372966
334,0.292571
335,0.408850
336,0.558601
337,0.362302
338,0.423935
339,0.335298
340,0.324701
341,0.172487
342,0.477574
343,0.313179
344,0.356697
345,0.177097
346,0.437616
347,0.259419
348,0.339565
349,0.364134
350,0.369949
351,0.229694
352,0.275742
353,0.364219
354,0.370751
355,0.649384
356,0.309732
357,0.158407
358,0.239147
359,0.292400
360,0.297601
361,0.270026
362,0.373956
363,0.300230
364,0.175922
365,0.518524
366,0.313966
367,0.502893
368,0.303352
369,0.259403
370,0.315496
371,0.319290
372,0.455772
373,0.267675
374,0.350736
375,0.347348
376,0.360674
377,0.472891
378,0.171887
379,0.298319
380,0.406892
381,0.374826
382,0.385581
383,0.364619
384,0.301828
385,0.374611
386,0.240307
387,0.427915
388,0.387218
389,0.427898
390,0.391528
391,0.281595
392,0.197323
393,0.302902
394,0.570987
395,0.338272
396,0.313747
397,0.342010
398,0.373020
399,0.366810
400,0.424789
401,0.205674
402,0.241264
403,0.318628
404,0.348979
405,0.402414
406,0.421055
407,0.430752
408,0.337245
409,0.585945
410,0.360725
411,0.223122
412,0.412428
413,0.252930
414,0.323092
415,0.274254
416,0.392835
417,0.401083
418,0.323210
419,0.457272
420,0.566497
421,0.289233
422,0.814848
423,0.349167
424,0.402321
425,0.210159
426,0.259782
427,0.244653
428,0.297331
429,0.510138
430,0.228183
431,0.282457
432,0.518126
433,0.262178
434,0.402007
435,0.251081
436,0.332276
437,0.228815
438,0.315755
439,0.439442
440,0.137462
441,0.242969
